base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
aktivoitua	1	Activate	NULL	Aktivoitua	NULL	NULL	NULL	NULL	NULL	NULL
alentaa	1	Reduce, diminish	(tags: model:reduce.01, seed:vähentää)	Vähentää, pienentää	(tags: model:reduce.01, seed:vähentää)	reduce.01	NULL	NULL	00408839	2196add
alentua	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	NULL	NULL	287	NULL	NULL
aleta	1	get down	NULL	aleta	NULL	NULL	NULL	NULL	NULL	NULL
aliarvioida	1	Underestimate	NULL	Aliarvioida	NULL	NULL	NULL	NULL	NULL	NULL
aliravita	1	Malourish		Aliravita		NULL	NULL	3660	NULL	NULL
alistaa	1	Oppress, subordinate	NULL	Alistaa, saattaa jonkun alaisuuteen	NULL	none.01	NULL	NULL	NULL	NULL
alistua	1	Settle for something (non-optimal)	(tags: model:acquiesce.01, seed:tyytyä)	Tyytyä johonkin (ei-optimaaliseen)	(tags: model:acquiesce.01, seed:tyytyä)	none.01	NULL	NULL	00694015	206f6af
alittaa	1	Go below, under	NULL	Alittaa	NULL	NULL	NULL	NULL	NULL	NULL
alkaa	1	Begin, start	Note: arg0 and arg1 are mutually exclusive (tags: VVB)	Alkaa, ruveta	Huom! arg0 ja arg1 ovat toisensa poissulkevat	none.01	NULL	NULL	NULL	3dc9be6
allekirjoittaa	1	Sign, write one's signature	(tags: model:sign.01)	Allekirjoittaa dokumentti	NULL	sign.01	NULL	NULL	NULL	b4e7b1
alleviivata	1	Stress, highlight something	(tags: seed:painottaa, model:stress.01)	Painottaa, nostaa jotain esiin	NULL	NULL	NULL	1138	NULL	NULL
aloitella	1	Start, begin to do something	(tags: model:start.01, seed:aloittaa)	Aloittaa, ryhtyä tekemään jotain	(tags: model:start.01, seed:aloittaa)	NULL	NULL	744	NULL	NULL
aloittaa	1	Start, begin to do something	(tags: model:start.01, seed:aloittaa)	Aloittaa, ryhtyä tekemään jotain	(tags: model:start.01, seed:aloittaa)	start.01	NULL	NULL	02457957	38a210d
altistaa	1	Expose, make vulnerable	(tags: model:expose.01)	Altistaa, tehdä alttiiksi/haavoittuvaiseksi	NULL	expose.01	NULL	NULL	NULL	NULL
alustaa	1	Knead	NULL	Alustaa taikina	NULL	None.01	NULL	NULL	666	54db82a
ammuskella	1	Shoot, propel a projectile towards a target	Note: not in sync. with either shoot.01 or shoot.02, combined in Finnish (several possible case and wordorder possibilities)	Ampua, lähettää ammus kohti maalia	Huom! Ei synkr. shoot.01:n tai shoot.02:n kanssa, yhdistetty suomessa (useita nahdollisia sija- ja sanajärjestysvaihtoehtoja)	NULL	NULL	3469	NULL	NULL
ampua	1	Shoot, propel a projectile towards a target	Note: not in sync. with either shoot.01 or shoot.02, combined in Finnish (several possible case and wordorder possibilities)	Ampua, lähettää ammus kohti maalia	Huom! Ei synkr. shoot.01:n tai shoot.02:n kanssa, yhdistetty suomessa (useita nahdollisia sija- ja sanajärjestysvaihtoehtoja)	none.01	NULL	NULL	NULL	NULL
analysoida	1	Research, do research	(tags: model:research.01, seed:tutkia)	Perehtyä, tutkia	(tags: model:research.01, seed:tutkia)	analyze.01	NULL	NULL	02048886	109b220
anella	1	Request, ask something	(tags: model:request.01)	Pyytää jotain		NULL	NULL	881	NULL	NULL
annostella	1	Portion, measure portions	Note: not in sync with portion.01, arg3 present in Finnish	Annostella, mitata annoksia	Huom! Ei synkr. portion.01:n kanssa, suomessa myös arg3	none.01	NULL	NULL	NULL	NULL
ansaita	1	Earn, make, get paid	(tags: seed:ansaita)	Hankkia tuloja, saada palkkaa	NULL	NULL	NULL	NULL	02190689, 02190206	223b244
ansaita	2	Deserve (either good or bad)	(tags: model:deserve.01)	Saada osakseen, ansaita (joko hyvää tai pahaa)	NULL	NULL	NULL	NULL	02528614, 02528426	367a484
ansioitua	1	earn credit	NULL	saada meriitti ansioista	NULL	NULL	NULL	NULL	NULL	NULL
antaa	1	Give	(tags: model:give.01)	Antaa jotakin jollekin		give.01	NULL	NULL	NULL	e288b1
antaa	2	Forgive	(tags: model:forgive.01, phrasal)	Antaa anteeksi		forgive.01	NULL	NULL	NULL	5ad6aa5
antaa	3	Let something happen	(tags: model:let.01)	Antaa jonkin asian tapahtua		let.01	NULL	NULL	NULL	d31e9a
antaa	4	Give in, yield	(tags: model:give.09, phrasal)	Antaa periksi		give.09	NULL	NULL	NULL	5a528a5
antaa	5	Face to	E.g. "Ikkunat antavat pohjoiseen" ("The windows face to the north")	Olla johonkin päin	Esim. "Ikkunat antavat pohjoiseen"	none.01	NULL	NULL	NULL	3e9168c
antautua	1	Surrender	Note: Not in sync with surrender.01, no arg 2 in Finnish	Antautua	Huom! Ei synkr surrender.01:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
antautua	2	Indulge	Note: Not in sync with indulge.01, no arg0 in Finnish	Antautua houkutukselle	Huom! Ei synkr. indulge.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
armahtaa	1	Pardon	NULL	Armahtaa, antaa armahdus	NULL	NULL	NULL	NULL	NULL	NULL
arvata	1	Guess	(tags: model:guess.01)	Arvata, esittää arvaus	NULL	guess.01	NULL	NULL	00610896	1820fd3
arvata	2	Dare	Not in sync with dare.01 (John dared Mary to kiss him)	Tehdä jotakin jollakin tavalla riskialtista	Ei synkr. dare.01:n kanssa (John dared Mary to kiss him)	none.01	NULL	1083	NULL	1437a9c
arvella	1	Suppose, expect something	(tags: model:suppose.01, seed:luulla)	Olettaa jotakin	(tags: model:suppose.01, seed:luulla)	suppose.01	NULL	NULL	00600257	1648d6c
arveluttaa	1	Make think	NULL	Arveluttaa	NULL	NULL	NULL	NULL	NULL	NULL
arvioida	1	Evaluate something	(tags: model:evaluate.01)	Määrittää jonkin taso	(tags: model:evaluate.01)	evaluate.01	NULL	NULL	00810297, 00655142	245d4bb
arvostaa	1	Respect, value	(tags: model:respect.01, seed:arvostaa)	Arvostaa	NULL	respect.01	NULL	NULL	00665955	8c4a6c
arvostaa	2	Evaluate something	(tags: model:evaluate.01)	Määrittää jonkin taso	(tags: model:evaluate.01)	none.01	NULL	397	NULL	NULL
arvostella	1	Evaluate something	(tags: model:evaluate.01)	Määrittää jonkin taso	(tags: model:evaluate.01)	critique.01	NULL	NULL	00810297, 00655142	245d4bb
asea	1	Fix, do up	Really old verb, not used anymore	Panna kuntoon	Todella vanha verbi, jota ei käytetä enää	none.01	NULL	NULL	NULL	NULL
aseistautua	1	Arm oneself	Note: note in sync with arm.01, no separate arg1 in Finnish (arg0=arg1)	Aseistaa itsensä	Huom! Ei synkr. arm.01:n kanssa, ei erillistä arg1:ä suomessa (arg0=arg1)	none.01	NULL	NULL	NULL	NULL
asemoida	1	Layout	NULL	Asemoida, latoa	NULL	NULL	NULL	NULL	NULL	NULL
asemoitua	1	Position, give a position to oneself	NULL	Sijoittaa itsensä johonkin asemaan	NULL	none.01	NULL	NULL	NULL	NULL
asennoitua	1	Have a (certain) opinion about something, respond in a certain manner	(tags: seed:suhtautua)	Suhtautua, olla asenne jotakin kohtaan	NULL	None.01	NULL	NULL	00662251	69c59f
asentaa	1	Install	(tags: model:install.01)	Asentaa	NULL	install.01	NULL	NULL	NULL	NULL
asetella	1	Put something to somewhere	Concrete or abstract (tags: model:put.01, seed:panna)	Laittaa jotain johonkin	Konkreettinen tai abstrakti	NULL	NULL	79	NULL	NULL
asettaa	1	Put something to somewhere	Concrete or abstract (tags: model:put.01, seed:panna)	Laittaa jotain johonkin	Konkreettinen tai abstrakti	NULL	NULL	NULL	01492881	1d65075
asettaa	2	Rule, order, command something	(tags: seed:määrätä, model:rule.01)	Komentaa, velvoittaa tekemään jotain	(tags: seed:määrätä, model:rule.01)	NULL	NULL	419	NULL	NULL
asettua	1	Settle, settle down	NULL	Asettua johonkin paikkaan tai tilaan	NULL	NULL	NULL	NULL	00401890,00400664	32d5d98
askarruttaa	1	Make to think	NULL	Askarruttaa, mietityttää	NULL	NULL	NULL	NULL	NULL	NULL
askeltaa	1	Use one's feet to advance	(tags: seed:kävellä, model:walk.01)	Käyttää jalkoja etenemiseen	NULL	NULL	NULL	1073	NULL	NULL
astella	1	Use one's feet to advance	(tags: seed:kävellä, model:walk.01)	Käyttää jalkoja etenemiseen	NULL	pace.01	NULL	NULL	01823113	5554546
astua	1	Become famous, advance in status	(tags: model:become.01, seed:nousta)	Tulla kuuluisaksi, saavuttaa parempi asema	(tags: model:become.01, seed:nousta)	none.01	NULL	NULL	00237972,02254766	42c2942
astua	2	Step somewhere	Note: arg0 and arg1 mutually exclusive (tags: model:step.01 VVB)	ottaa askel jonnekin	Huom! Arg0 ja arg1 toisensa poissulkevat!	step.01	NULL	NULL	02000408	5b96a64
astua	3	Come into effect	(tags: phrasal)	astua voimaan	NULL	none.01	NULL	NULL	NULL	33d4fd9
asua	1	Live, reside, inhabit	(tags: model:reside.01, seed:asua)	Asua, asuttaa, majailla	NULL	reside.01	NULL	NULL	02506910, 02510931, 02504478, 02505154	319e187
asustaa	1	Live, reside, inhabit	(tags: model:reside.01, seed:asua)	Asua, asuttaa, majailla	NULL	reside.01	NULL	NULL	02506910, 02510931, 02504478, 02505154	319e187
asuttaa	1	Live, reside, inhabit	(tags: model:reside.01, seed:asua)	Asua, asuttaa, majailla	NULL	NULL	NULL	NULL	02506910, 02510931, 02504478, 02505154	319e187
aueta	1	Open	Note: not in sync with open.01, no arg0 in Finnish	Aueta	Huom! Ei synkr. open.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
aukaista	1	Cause to open, display contents of something	(tags: model:open.01)	avata, aukaista	NULL	open.01	NULL	NULL	02025134, 01274955	d41020
aukoa	1	Cause to open, display contents of something	(tags: model:open.01)	avata, aukaista	NULL	NULL	NULL	661	NULL	NULL
auktorisoida	1	Authorize	Note: not in sync with authorize.01, different arg1 and arg2 in Finnish	Auktorisoida	Huom! Ei synkr. authorize.01:n kanssa, erilaiset argt 1 ja 2 suomessa	NULL	NULL	NULL	NULL	NULL
aurata	1	Plough	NULL	Aurata	NULL	NULL	NULL	NULL	NULL	NULL
autioitua	1	Become desolate	NULL	Autioitua	NULL	NULL	NULL	NULL	NULL	NULL
autoistua	1	Become populated with cars	NULL	Autoistua	NULL	NULL	NULL	NULL	NULL	NULL
auttaa	1	Help	(tags: model:help.01)	Antaa apua	NULL	help.01	NULL	NULL	02585105	3d0834b
avartaa	1	Expand	NULL	Avartaa	NULL	NULL	NULL	NULL	NULL	NULL
avata	1	Cause to open, display contents of something	(tags: model:open.01)	avata, aukaista	NULL	open.01	NULL	NULL	02025134, 01274955	d41020
avautua	1	Open	Note: not in sync with open.01, no arg0 in Finnish	Aueta	Huom! Ei synkr. open.01:n kanssa, suomessa ei arg0:a	NULL	NULL	2164	NULL	NULL
avioitua	1	Marry	N.B. Not in sync with marry.01, different argument structure	Avioitua, mennä naimisiin	Huom! Ei synkr. marry.01:n kanssa, eri argumenttirakenne	none.01	NULL	NULL	02353676	3c03485
avustaa	1	Help	(tags: model:help.01)	Antaa apua	NULL	NULL	NULL	NULL	02585105	3d0834b
bannata	1	Ban, prohibit	Not in sync with ban.01, different arg2 in Finnish (tags:colloquial)	Bannata, antaa porttikielto jonnekin	Ei synkr. ban.01:n kanssa, suomessa eri arg2	none.01	NULL	NULL	NULL	NULL
bilettää	1	Celebrate something	(tags: model:celebrate.02, seed:viettää)	Viettää, juhlia	(tags: model:celebrate.02, seed:viettää)	NULL	NULL	119	NULL	NULL
bongata	1	Notice something	(tags:model:notice.01)	Havaita, huomata jotain	None	NULL	NULL	1722	NULL	NULL
buukata	1	Book, fill with bookings	Note: not in sync with book.01 or book.02, this is a slightly different sense, "to fill with bookings"	Buukata, täyttää varauksilla	Huom! Ei synkr. book.01:n or book.02:n kanssa, tämä on hiukan eri merkitys, "täyttää varauksilla"	none.01	NULL	NULL	NULL	NULL
debytoida	1	Make one's debut	NULL	Esiintyä ensi kertaa	NULL	none.01	NULL	NULL	NULL	NULL
delegoida	1	Delegate	tags:model:delegate.01	Delegoida, jakaa tehtäviä	NULL	NULL	NULL	NULL	NULL	NULL
diilata	1	Deal (e.g. drugs)	NULL	Diilata, välittää (esim. huumeita)	NULL	none.01	NULL	NULL	NULL	NULL
dipata	1	Dip	NULL	Kastaa	NULL	NULL	NULL	NULL	NULL	NULL
dokumentoida	1	document	NULL	tallentaa kirjallisesti	NULL	document.01	NULL	NULL	NULL	NULL
dominoida	1	Dominate	(tags: model:dominate.01)	Dominoida, hallita	NULL	dominate.01	NULL	NULL	NULL	NULL
duunata	1	Make love	NULL	Rakastella	NULL	NULL	NULL	2716	NULL	NULL
edellyttää	1	Require, need	(tags: model:require.01)	Pitää jonkun edellytyksenä	NULL	NULL	NULL	NULL	02511284	58c148b
edeltää	1	Precede, happen earlier	NULL	Edeltää, tapahtua aikaisemmin	NULL	none.01	NULL	NULL	02591003	477c96c
edetä	1	Succeed, thrive	(tags:model:succeed.01)	Edetä, menestyä	NULL	NULL	NULL	NULL	02611407	dee7b5
edetä	2	Progress, move forward, proceed	Note: not in sync with progress.01, proceed.01, forward.01, VVB in Finnish. Arg0 and arg1 mutually exclusive. (tags: VVB)	Edetä, mennä eteenpäin, jatkaa	Huom. Ei synkr. progress.01:n, proceed.01:n tai forward.01:n kanssa, VVB suomessa. Arg0 ja arg1 toisensa poissulkevat.	NULL	NULL	NULL	NULL	5541a77
edistyä	1	Progress, move forward, proceed	Note: not in sync with progress.01, proceed.01, forward.01, VVB in Finnish. Arg0 and arg1 mutually exclusive. (tags: VVB)	Edetä, mennä eteenpäin, jatkaa	Huom. Ei synkr. progress.01:n, proceed.01:n tai forward.01:n kanssa, VVB suomessa. Arg0 ja arg1 toisensa poissulkevat.	none.01	NULL	NULL	NULL	5541a77
edistää	1	Improve, make better	(tags: model:improve.01, seed:kehittää)	Kehittää paremmaksi, parantaa	(tags: model:improve.01, seed:kehittää)	further.01	NULL	NULL	00531231	ce2375
editoida	1	Edit, change (text)	(tags: model:edit.01)	Editoida, muokata (tekstiä)	NULL	edit.01	NULL	NULL	NULL	NULL
edustaa	1	Represent a group	NULL	Edustaa, toimia edustajana (tags:model represent.01)	NULL	NULL	NULL	NULL	02429423	36397e3
edustaa	2	Act as an example	NULL	Edustaa, toimia esimerkkinä (tags:model exemplify.01)	NULL	NULL	NULL	NULL	02429423	4b497c0
ehdollistaa	1	Condition, make something conditioned		Ehdollistaa, tehdä jokin ehdolliseksi		none.01	NULL	NULL	NULL	NULL
ehdottaa	1	Suggest, propose something	(tags: seed:ehdottaa, model:recommend.01)	Ehdottaa, esittää	(tags: seed:ehdottaa, model:recommend.01)	recommend.01	NULL	NULL	02273419, 00831747	32095e3
ehkäistä	1	Prevent, reject, block	NULL	Torjua, estää	NULL	NULL	NULL	NULL	02345406	3b0a510
ehtiä	1	Reach in time, have the time to do something	(tags: seed:ehtiä)	Olla aikaa tehdä jotain, ehtiä jonnekin	NULL	none.01	NULL	NULL	01934886	59168b8
ehtyä	1	End, finish	Note: not in sync with end.01, no arg0 in Finnish	Päättyä, loppua	Huom! Ei synkr. end.01:n kanssa, suomessa ei arg0:a	NULL	NULL	1003	NULL	NULL
ehättää	1	Reach in time, have the time to do something	(tags: seed:ehtiä)	Olla aikaa tehdä jotain, ehtiä jonnekin	NULL	NULL	NULL	3518	NULL	NULL
eksyä	1	Get lost, lose one's bearings	NULL	Eksyä	NULL	NULL	NULL	NULL	NULL	NULL
elellä	1	Live, be alive	(tags: model:live.01)	Elää, olla elossa	NULL	NULL	NULL	NULL	02497988	15f8d9e
elpyä	1	Recover	NULL	Elpyä	NULL	NULL	NULL	NULL	NULL	NULL
elvyttää	1	Revive, bring back to life	(tags: model:revive.01)	Elvyttää, herättää eloon	NULL	revive.01	NULL	NULL	NULL	NULL
elättää	1	Support	NULL	Elättää	NULL	NULL	NULL	NULL	NULL	NULL
elättää	2	Live on	tags:phrasal	Elättää itsensä	NULL	NULL	NULL	NULL	NULL	NULL
elää	1	Live, be alive	(tags: model:live.01)	Elää, olla elossa	NULL	live.01	NULL	NULL	02497988	15f8d9e
empiä	1	Hesitate	(tags: model:hesitate.01)	Empiä, ajatella olla tekemättä jotain		hesitate.01	NULL	1784	NULL	NULL
ennakoida	1	foresee, predict	NULL	ennustaa tulevaa	NULL	foresee.01	NULL	NULL	NULL	NULL
ennustaa	1	Predict, foretell	(tags: model:predict.01)	Ennustaa, arvailla tulevaisuutta	NULL	predict.01	NULL	NULL	NULL	NULL
ennättää	1	Reach in time, have the time to do something	(tags: seed:ehtiä)	Olla aikaa tehdä jotain, ehtiä jonnekin	NULL	NULL	NULL	1511	NULL	NULL
ensiesitellä	1	show, demonstrate for thre first time	(tags: model:show.01)	tuoda esille asia, tavara tai ihminen ensimmäisne kerran	NULL	none.01	NULL	1143	NULL	NULL
ensirekisteröidä	1	Record (officially) for the first time	(tags: model:register.02)	tallentaa asiantila ensimmäisen kerran	NULL	NULL	NULL	1081	NULL	NULL
entisöidä	1	Restore	tags:model:restore.02	Restauroida	NULL	NULL	NULL	3077	NULL	NULL
epäillä	1	Suspect, doubt	(tags: model:suspect.01)	Epäillä	NULL	suspect.01	NULL	NULL	00883860, 00659753	24eba35
epäilyttää	1	Look suspicious	NULL	Epäilyttää, arveluttaa	NULL	NULL	NULL	NULL	NULL	NULL
epäonnistua	1	Fail	Note: not in sync with fail.01, no arg0 or arg3 in Finnish	Epäonnistua	Huom! Ei synkr. fail.01:n kanssa, ei arg0:aa tai arg3:a suomessa	NULL	NULL	NULL	02416360	4a67fc1
epäröidä	1	Have doubts	NULL	Epäröidä	NULL	NULL	NULL	NULL	NULL	NULL
epävakauttaa	1	Causing something to be unstable	NULL	Tehdä epävakaaksi	NULL	none.01	NULL	NULL	NULL	NULL
erakoitua	1	Choose to live as a hermit	NULL	Erakoitua	NULL	NULL	NULL	NULL	NULL	NULL
erehdyttää	1	Mislead, almost-lie	(tags: model:mislead.01)	Erehdyttää, johtaa harhaan	NULL	mislead.01	NULL	NULL	NULL	NULL
erehtyä	1	Make a mistake	NULL	Erehtyä, tehdä erehdys	NULL	none.01	NULL	NULL	NULL	NULL
erikoistua	1	Specialize in something	tags:model:specialize.01	Erikoistua johonkin	NULL	NULL	NULL	NULL	NULL	NULL
erilaistua	1	Differentiate	Note: not in sync with differentiate.01, no args 0 or 2 in Finnish	Erilaistua	Huom! Ei synkr. differentiate.01:n kanssa, suomessa ei arg:ja 0 eikä 2	NULL	NULL	NULL	NULL	NULL
eristäytyä	1	Isolate oneself (from something)	Note: not in sync with isolate.01 or separate.01, this verb has arg1 built in in Finnish -> not needed	Eristää itsensä (jostakin)	Huom! Ei synkr. isolate.01:n tai separate.01:n kanssa, tämä verbi suomessa sisältää arg1:n itsessään -> ei tarvita	none.01	NULL	NULL	NULL	NULL
eristää	1	Isolate, exclude, rule out	(tags: seed:sulkea, model:exclude.01)	Eristää, jättää ulkopuolelle	NULL	NULL	NULL	NULL	01944144	12390f2
erkaantua	1	Diverge, take a different path e.g. than friends	Not in sync with diverge.01, no arg2 in PB	Erkaantua, lähteä eri suuntaan esim. ystävistä	Ei synkr. diverge.01:n kanssa, ei arg2:sta PB:ssä	none.01	NULL	NULL	02588841	5b1e935
erota	1	Differ, be different	(tags: model:differ.02, seed:erota)	Olla erilainen	NULL	differ.02	NULL	NULL	02596848	34bf7b7
erota	2	Quit job/position	(tags: model:quit.01, seed:erota)	Erota tehtävästä, irtisanoutua	NULL	quit.01	NULL	NULL	02279632	2246b39
erota	3	Divorce, break up	(tags: model:divorce.01)	Erota puolisosta, ottaa avioero	NULL	divorce.01	NULL	NULL	02380263	3148f22
erota	4	Diverge, take a different path e.g. than friends	Not in sync with diverge.01, no arg2 in PB	Erkaantua, lähteä eri suuntaan esim. ystävistä	Ei synkr. diverge.01:n kanssa, ei arg2:sta PB:ssä	none.01	NULL	NULL	02588841	5b1e935
erotella	1	Distinguish, separate	(tags: model:distinguish.01, seed:erottaa)	Tehdä ero, ottaa erilleen	(tags: model:distinguish.01, seed:erottaa)	distinguish.01	NULL	NULL	01920957,01475413	32e2c0a
erottaa	1	Distinguish, separate	(tags: model:distinguish.01, seed:erottaa)	Tehdä ero, ottaa erilleen	(tags: model:distinguish.01, seed:erottaa)	distinguish.01	NULL	NULL	01920957,01475413	32e2c0a
erottaa	2	Fire	(tags: model:fire.02, seed:erottaa)	Antaa potkut	(tags: model:fire.02, seed:erottaa)	fire.02	NULL	NULL	02274650	513ff83
erottua	1	Be distinguishable, discernible	NULL	Erottua, olla eroteltavissa	NULL	NULL	NULL	NULL	NULL	NULL
erääntyä	1	Become due	NULL	Erääntyä	NULL	NULL	NULL	NULL	NULL	NULL
esiintyä	1	Act in a position, give a (public) performance (of something)	(tags: model:perform.01)	Toimia jossakin asemassa, esittää (jotakin julkisesti)	NULL	perform.01	NULL	NULL	01641226	261e4b8
esiintyä	2	Occur (persistently), to be found to exist	(tags: model:exist.01)	Ilmetä (jatkuvasti), huomata, että jokin on olemassa	NULL	exist.01	NULL	NULL	02495809, 02495669	3032cc3
esiintyä	3	Behave, act in a certain manner	(tags: model:behave.01, seed:esiintyä)	Käyttäytyä, toimia jollain tavalla	NULL	behave.01	NULL	NULL	02406481	563f3db
esitellä	1	show, demonstrate	(tags: model:show.01)	tuoda esille asia, tavara tai ihminen	NULL	none.01	NULL	NULL	02055096	33a6833
esitelmöidä	1	give a lecture	NULL	antaa luento 	NULL	NULL	NULL	NULL	NULL	NULL
esittäytyä	1	Introduce oneself	NULL	Esittäytyä, esitellä itsensä	NULL	NULL	NULL	NULL	NULL	NULL
esittää	1	Suggest, propose, state something	(tags: seed:ehdottaa, model:recommend.01)	Ehdottaa, esittää, tuoda julki	(tags: seed:ehdottaa, model:recommend.01)	none.01	NULL	NULL	02273419, 00831747	32095e3
esittää	2	Show, air		Lähettää, esittää ohjelmaa	NULL	NULL	NULL	NULL	00917975	528baf8
esittää	3	play a role, perform	(tags: model:play.02)	näytellä roolia, esittää mallia (esim. taulu esittää mallia), esittää teos	NULL	NULL	NULL	NULL	01649117	21e90fa
estellä	1	Prevent	Note: not in sync with prevent.01; that's done according to syntax	Toimia niin, ettei jotakin tapahdu	Huom! Ei synkr. prevent.01:n kanssa, se on tehty syntaksin mukaan	NULL	NULL	999	NULL	NULL
estyä	1	Be hindered	NULL	Estyä	NULL	NULL	NULL	NULL	NULL	NULL
estää	1	Prevent	Note: not in sync with prevent.01; that's done according to syntax	Toimia niin, ettei jotakin tapahdu	Huom! Ei synkr. prevent.01:n kanssa, se on tehty syntaksin mukaan	prevent.01	NULL	NULL	02418205	b12f7f
etsiskellä	1	Search, look for something	(model:look.05, seed:etsiä)	Etsiä jotain	NULL	NULL	NULL	891	NULL	NULL
etsiä	1	Search, look for something	(model:look.05, seed:etsiä)	Etsiä jotain	NULL	seek.01	NULL	NULL	0211998, 01893645	51e0e02
etäännyttää	1	Distinguish, separate	(tags: model:distinguish.01, seed:erottaa)	Tehdä ero, ottaa erilleen	(tags: model:distinguish.01, seed:erottaa)	NULL	NULL	160	NULL	NULL
etääntyä	1	Recede	NULL	Etääntyä	NULL	NULL	NULL	NULL	NULL	NULL
